Algoritmo,Imagen,Tiempo
CUDA CPU V2, image_100_15_8.png,1519
CUDA CPU,image_100_15_9.png,2290
CPU,image_100_15_9.png,672
CUDA, image_100_15_9.png,2166
CUDA V2, image_100_15_9.png,1417
CUDA CPU V2, image_100_15_9.png,1337
CUDA CPU,image_100_18_0.png,2145
CPU,image_100_18_0.png,673
CUDA, image_100_18_0.png,2192
CUDA V2, image_100_18_0.png,1476
CUDA CPU V2, image_100_18_0.png,1256
CUDA CPU,image_100_18_1.png,1981
CPU,image_100_18_1.png,670
CUDA, image_100_18_1.png,2196
CUDA V2, image_100_18_1.png,1285
CUDA CPU V2, image_100_18_1.png,1349
CUDA CPU,image_100_18_2.png,2090
CPU,image_100_18_2.png,581
CUDA, image_100_18_2.png,2087
CUDA V2, image_100_18_2.png,1483
CUDA CPU V2, image_100_18_2.png,1456
CUDA CPU,image_100_18_3.png,2227
CPU,image_100_18_3.png,594
CUDA, image_100_18_3.png,2043
CUDA V2, image_100_18_3.png,1431
CUDA CPU V2, image_100_18_3.png,1347
CUDA CPU,image_100_18_4.png,2150
CPU,image_100_18_4.png,695
CUDA, image_100_18_4.png,2376
CUDA V2, image_100_18_4.png,1467
CUDA CPU V2, image_100_18_4.png,1068
CUDA CPU,image_100_18_5.png,2059
CPU,image_100_18_5.png,684
CUDA, image_100_18_5.png,2350
CUDA V2, image_100_18_5.png,1429
CUDA CPU V2, image_100_18_5.png,1148
CUDA CPU,image_100_18_6.png,2117
CPU,image_100_18_6.png,681
CUDA, image_100_18_6.png,2160
CUDA V2, image_100_18_6.png,1309
CUDA CPU V2, image_100_18_6.png,1087
CUDA CPU,image_100_18_7.png,2016
CPU,image_100_18_7.png,696
CUDA, image_100_18_7.png,2189
CUDA V2, image_100_18_7.png,1319
CUDA CPU V2, image_100_18_7.png,1114
CUDA CPU,image_100_18_8.png,2079
CPU,image_100_18_8.png,581
CUDA, image_100_18_8.png,2120
CUDA V2, image_100_18_8.png,1342
CUDA CPU V2, image_100_18_8.png,1153
CUDA CPU,image_100_18_9.png,2216
CPU,image_100_18_9.png,681
CUDA, image_100_18_9.png,2072
CUDA V2, image_100_18_9.png,2114
CUDA CPU V2, image_100_18_9.png,1412
CUDA CPU,image_100_3_0.png,2170
CPU,image_100_3_0.png,362
CUDA, image_100_3_0.png,2446
CUDA V2, image_100_3_0.png,1470
CUDA CPU V2, image_100_3_0.png,1580
CUDA CPU,image_100_3_1.png,2232
CPU,image_100_3_1.png,372
CUDA, image_100_3_1.png,2290
CUDA V2, image_100_3_1.png,1630
CUDA CPU V2, image_100_3_1.png,1468
CUDA CPU,image_100_3_2.png,2030
CPU,image_100_3_2.png,318
CUDA, image_100_3_2.png,2291
CUDA V2, image_100_3_2.png,1743
CUDA CPU V2, image_100_3_2.png,1522
CUDA CPU,image_100_3_3.png,2143
CPU,image_100_3_3.png,432
CUDA, image_100_3_3.png,2350
CUDA V2, image_100_3_3.png,1328
CUDA CPU V2, image_100_3_3.png,1619
CUDA CPU,image_100_3_4.png,2193
CPU,image_100_3_4.png,366
CUDA, image_100_3_4.png,2297
CUDA V2, image_100_3_4.png,1279
CUDA CPU V2, image_100_3_4.png,1467
CUDA CPU,image_100_3_5.png,2361
CPU,image_100_3_5.png,308
CUDA, image_100_3_5.png,2430
CUDA V2, image_100_3_5.png,1487
CUDA CPU V2, image_100_3_5.png,1380
CUDA CPU,image_100_3_6.png,2139
CPU,image_100_3_6.png,339
CUDA, image_100_3_6.png,2316
CUDA V2, image_100_3_6.png,1515
CUDA CPU V2, image_100_3_6.png,1346
CUDA CPU,image_100_3_7.png,3197
CPU,image_100_3_7.png,367
CUDA, image_100_3_7.png,2430
CUDA V2, image_100_3_7.png,1320
CUDA CPU V2, image_100_3_7.png,1292
CUDA CPU,image_100_3_8.png,2197
CPU,image_100_3_8.png,347
CUDA, image_100_3_8.png,2447
CUDA V2, image_100_3_8.png,1403
CUDA CPU V2, image_100_3_8.png,1252
CUDA CPU,image_100_3_9.png,2167
CPU,image_100_3_9.png,275
CUDA, image_100_3_9.png,2326
CUDA V2, image_100_3_9.png,1499
CUDA CPU V2, image_100_3_9.png,1298
CUDA CPU,image_100_6_0.png,2258
CPU,image_100_6_0.png,434
CUDA, image_100_6_0.png,2543
CUDA V2, image_100_6_0.png,1692
CUDA CPU V2, image_100_6_0.png,1434
CUDA CPU,image_100_6_1.png,2086
CPU,image_100_6_1.png,382
CUDA, image_100_6_1.png,2178
CUDA V2, image_100_6_1.png,1550
CUDA CPU V2, image_100_6_1.png,1423
CUDA CPU,image_100_6_2.png,2304
CPU,image_100_6_2.png,432
CUDA, image_100_6_2.png,2536
CUDA V2, image_100_6_2.png,1491
CUDA CPU V2, image_100_6_2.png,1334
CUDA CPU,image_100_6_3.png,2184
CPU,image_100_6_3.png,350
CUDA, image_100_6_3.png,2187
CUDA V2, image_100_6_3.png,1975
CUDA CPU V2, image_100_6_3.png,1316
CUDA CPU,image_100_6_4.png,2083
CPU,image_100_6_4.png,333
CUDA, image_100_6_4.png,2497
CUDA V2, image_100_6_4.png,2208
CUDA CPU V2, image_100_6_4.png,1510
CUDA CPU,image_100_6_5.png,2267
CPU,image_100_6_5.png,357
CUDA, image_100_6_5.png,2572
CUDA V2, image_100_6_5.png,1612
CUDA CPU V2, image_100_6_5.png,1280
CUDA CPU,image_100_6_6.png,2269
CPU,image_100_6_6.png,363
CUDA, image_100_6_6.png,2501
CUDA V2, image_100_6_6.png,1672
CUDA CPU V2, image_100_6_6.png,1458
CUDA CPU,image_100_6_7.png,2267
CPU,image_100_6_7.png,441
CUDA, image_100_6_7.png,2417
CUDA V2, image_100_6_7.png,1663
CUDA CPU V2, image_100_6_7.png,1606
CUDA CPU,image_100_6_8.png,2966
CPU,image_100_6_8.png,452
CUDA, image_100_6_8.png,2210
CUDA V2, image_100_6_8.png,1568
CUDA CPU V2, image_100_6_8.png,1326
CUDA CPU,image_100_6_9.png,2230
CPU,image_100_6_9.png,315
CUDA, image_100_6_9.png,2285
CUDA V2, image_100_6_9.png,1599
CUDA CPU V2, image_100_6_9.png,1459
CUDA CPU,image_100_9_0.png,2303
CPU,image_100_9_0.png,399
CUDA, image_100_9_0.png,2768
CUDA V2, image_100_9_0.png,1453
CUDA CPU V2, image_100_9_0.png,1515
CUDA CPU,image_100_9_1.png,3188
CPU,image_100_9_1.png,515
CUDA, image_100_9_1.png,2420
CUDA V2, image_100_9_1.png,2270
CUDA CPU V2, image_100_9_1.png,1592
CUDA CPU,image_100_9_2.png,2460
CPU,image_100_9_2.png,428
CUDA, image_100_9_2.png,2558
CUDA V2, image_100_9_2.png,1595
CUDA CPU V2, image_100_9_2.png,1441
